Modality,H_0,H_1,H_2,H_inf
"[Acc.x, Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",59.3497500468779,27.9638080304176,25.9290237759797,21.1175791619149
"[Acc.y, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",55.1798250454356,27.9522522134691,25.9285972822614,21.1175791619149
"[Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",64.8892229702182,30.1590986952614,27.6960261199166,21.112453277352
"[Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",60.7192979687759,30.147542878313,27.6954397219124,21.112453277352
"[Acc.x, Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",55.2622872056275,27.9496605114731,25.9280227302998,21.1118427923658
"[Light, Temp., Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",51.0923622041852,27.9381046945246,25.9273279414721,21.1118427923658
"[Acc.x, Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",64.8067608100263,30.1449968364543,27.6899014190005,21.1105360743577
"[Acc.y, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",60.636835808584,30.1334410195058,27.6892738252969,21.1105360743577
"[Acc.x, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",60.7192979687759,30.1308493175097,27.6886889237983,21.1047997048086
"[Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.y, Gyro.z]",56.5493729673336,30.1192935005613,27.687697299072,21.1047997048086
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",70.2780665289519,31.4453198829255,28.839014366066,21.1036620973234
"[Humidity, Acc.x, Acc.z, Light, Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",66.1906036877015,31.4311723639809,28.8381388020314,21.1036620973234
"[Humidity, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",66.1081415275096,31.433764065977,28.8384105177892,21.1036620973234
"[Humidity, Acc.z, Light, Pressure, Mag.x, Mag.z, Gyro.x, Gyro.y, Gyro.z]",62.0206786862592,31.4196165470324,28.8372330892171,21.1036620973234
"[Acc.x, Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",64.2341140734698,29.4094697120657,27.2239241878331,21.0041074875061
"[Acc.y, Acc.z, Light, Temp., Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",60.0641890720275,29.3979138951172,27.223601984943,21.0041074875061
"[Acc.x, Acc.z, Light, Temp., Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",60.1466512322194,29.3953221931211,27.223043453836,20.998371117957
"[Acc.z, Light, Temp., Mag.x, Mag.y, Gyro.x, Gyro.y, Gyro.z]",55.9767262307771,29.3837663761727,27.222555222186,20.998371117957
"[Humidity, Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",79.5748478099446,36.9842522615587,33.680666618431,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",79.4923856497526,36.9868439635548,33.6811082074585,20.9260876574292
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",77.3224606483103,34.6275579147356,31.6744644912718,20.9260876574292
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",75.7981245065407,32.4040027847344,29.7952797038689,20.9260876574292
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",75.6233916619026,32.0122822494969,29.4344156847154,20.9260876574292
"[Humidity, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",75.4049228085023,36.9726964446102,33.6798134818302,20.9260876574292
"[Humidity, Acc.x, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",73.23499780706,34.613410395791,31.6739689869465,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",73.152535646868,34.6160020977871,31.6741856960324,20.9260876574292
"[Humidity, Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",71.7106616652903,32.3898552657898,29.7942850146361,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",71.6281995050984,32.3924469677859,29.7946633622288,20.9260876574292
"[Humidity, Acc.x, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",71.5359288206523,31.9981347305523,29.4332810706662,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",71.4534666604603,32.0007264325484,29.4336460923935,20.9260876574292
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",69.458274503656,29.9949425904987,27.5344875669237,20.9260876574292
"[Humidity, Acc.x, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",69.283541659018,29.5905948112144,27.1112132084927,20.9260876574292
"[Humidity, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y, Gyro.z]",69.0650728056177,34.6018545788426,31.6735843505112,20.9260876574292
"[Humidity, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",67.540736663848,32.3782994488414,29.7934536665224,20.9260876574292
"[Humidity, Acc.z, Light, Temp., Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",67.36600381921,31.9865789136039,29.4322479122489,20.9260876574292
"[Humidity, Acc.x, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",65.3708116624057,29.9807950715541,27.534004005098,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.z]",65.2883495022137,29.9833867735502,27.534237188925,20.9260876574292
"[Humidity, Acc.x, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",65.1960788177677,29.5764472922698,27.1107777591794,20.9260876574292
"[Humidity, Acc.y, Acc.z, Light, Pressure, Mag.x, Mag.y, Mag.z, Gyro.x, Gyro.y]",65.1136166575757,29.5790389942659,27.1109179447621,20.9260876574292
