Modality,H_0,H_1,H_2,H_inf
"[LinAcc.z, Pressure]",15.556146773125832,11.035527950250312,8.58000121912325,5.398854600804694
"[LinAcc.z, Altitude]",16.482146191682055,10.345514318610398,6.661324562569347,3.9072263459062997
"[LinAcc.z, Temp.]",13.736719018767653,9.191224222387621,6.470526685668317,3.908666161435874
"[Pressure, Altitude]",12.739780609773259,6.2078157062680654,5.545767035363214,3.7085675990244926
"[Pressure, Temp.]",9.994353436858859,6.902230156051713,5.888639240260638,3.7085675990244926
"[Altitude, Temp.]",10.92035285541508,5.859491389846753,2.625705800906832,1.3217842258187282
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, LinAcc.z, Pressure]",147.6805245383792,79.48119078233884,38.09589241114651,21.238202760035293
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, LinAcc.z, Altitude]",148.6065239569354,78.8225850429118,37.928197627607034,21.238202760035293
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, LinAcc.z, Temp.]",145.86109678402102,77.67042626454692,37.933155251523715,21.238202760035293
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, Pressure, Altitude]",144.86415837502662,76.54911033597114,38.84207989931483,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, Pressure, Temp.]",142.11873120211223,77.24352478575479,39.11902381189832,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.y, Altitude, Temp.]",143.04473062066845,76.24289432565554,38.276197555714276,21.255719074405718
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.z, Pressure, Altitude]",144.67106420913012,76.8904965075261,38.87298454123507,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.z, Pressure, Temp.]",141.92563703621573,77.58491095730975,39.15469862216371,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, LinAcc.z, Altitude, Temp.]",142.85163645477195,76.5842804972105,38.361013141146664,21.255719074405718
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.x, Pressure, Altitude, Temp.]",139.10927087286316,74.31080579026984,39.0871822410044,21.28857241122007
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.y, LinAcc.z, Pressure, Altitude]",144.90793503448225,77.0379588805874,38.87624882689211,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.y, LinAcc.z, Pressure, Temp.]",142.16250786156786,77.73237333037105,39.158479099283404,21.271056096849644
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.y, LinAcc.z, Altitude, Temp.]",143.08850728012408,76.7317428702718,38.37018020963213,21.255719074405718
"[Acc.x, Acc.y, Acc.z, Gyro.x, Gyro.y, Gyro.z, Mag.x, Mag.y, Mag.z, Ori.w, Ori.x, Ori.y, Ori.z, Grav.x, Grav.y, Grav.z, LinAcc.y, Pressure, Altitude, Temp.]",139.3461416982153,74.45826816333114,39.09976225501691,21.28857241122007
